trail_name,length,difficulty,trail_link,longitude,latitude,city,popularity,rating,local_club,local_club_site,land_manager,land_manager_site,tot_climb,tot_descent,ave_grade,max_grade,max_elevation,min_elevation,dog_policy,e_bike_policy
Hiline Trail,3.1,VERY DIFFICULT,https://www.mtbproject.com/trail/593534/hiline-trail,34.804602,-111.771244,Village of Oak Creek (Big Park),1,4.7,Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,326,695,6,35,4646,4086,Unknown,Unknown
Slim Shady Trail,2.6,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/593708/slim-shady-trail,34.790166,-111.765576,Village of Oak Creek (Big Park),0.99895288,4.4,Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,265,264,4,11,4464,4202,Unknown,Unknown
Mescal,2.4,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/4960011/mescal,34.906801,-111.824568,West Sedona,0.997905759,4.6,Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,206,166,3,11,4710,4520,Unknown,Unknown
Chuckwagon,5.4,INTERMEDIATE,https://www.mtbproject.com/trail/4960774/chuckwagon,34.906632,-111.823948,West Sedona,0.996858639,4.5,Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,559,489,4,13,4679,4499,Unknown,Unknown
Tortolita Preserve Loop,9.7,INTERMEDIATE,https://www.mtbproject.com/trail/6390787/tortolita-preserve-loop,32.439082,-111.098523,Tortolita,0.995811518,4.2,Sonoran Desert Mountain Bicyclists,https://www.mtbproject.com/club/112648/sonoran-desert-mountain-bicyclists,"Pima County - Natural Resources, Parks and Recreation",http://webcms.pima.gov/government/natural_resources_parks_and_recreation/,520,520,2,4,2804,2326,Unknown,Unknown
Lone Cactus Loop,6.4,INTERMEDIATE,https://www.mtbproject.com/trail/6437294/lone-cactus-loop,32.161981,-110.789655,Tanque Verde,0.994764398,4.3,,,,,277,280,2,9,2856,2793,Unknown,Unknown
Apache Wash Loop,6.2,EASY/INTERMEDIATE,https://www.mtbproject.com/trail/7004148/apache-wash-loop,33.771267,-112.048779,Cave Creek,0.993717277,4.1,,,,,159,176,1,4,1815,1704,Leashed,Unknown
Desperado Loop,3.6,EASY/INTERMEDIATE,https://www.mtbproject.com/trail/7017541/desperado-loop,32.27825,-111.082731,Flowing Wells,0.992670157,4.7,Sonoran Desert Mountain Bicyclists,https://www.mtbproject.com/club/112648/sonoran-desert-mountain-bicyclists,"Pima County - Natural Resources, Parks and Recreation",http://webcms.pima.gov/government/natural_resources_parks_and_recreation/,231,175,2,7,2561,2405,Unknown,Not Allowed
North Loop,6.8,EASY/INTERMEDIATE,https://www.mtbproject.com/trail/7036398/north-loop,32.022649,-110.569918,Vail,0.991623037,4.6,,,,,466,467,3,9,3921,3712,No Dogs,Unknown
Bug Springs,4.6,DIFFICULT,https://www.mtbproject.com/trail/299773/bug-springs,32.374283,-110.690391,Tanque Verde,0.990575916,4.4,Tucson Off Road Cyclists & Activists (TORCA),https://www.mtbproject.com/club/7000193/tucson-off-road-cyclists-activists-torca,USFS - Coronado National Forest Office,http://www.fs.usda.gov/coronado,599,1604,9,38,6288,4900,Unknown,Unknown
